Gaia19aqq,16:23:28.968,-50:37:37.2
Gaia19aqw,12:09:01.392,-68:02:12.48
Gaia19aqy,18:51:09.288,-09:01:48.72
Gaia19asx,19:16:27.456,+26:39:12.6
Gaia19awc,18:15:36.144,-02:15:25.2
Gaia19axg,17:57:20.304,-20:34:20.28
Gaia19axw,17:53:27.408,-28:19:11.64
Gaia19ayh,17:30:34.032,-27:29:30.48
Gaia19ayo,17:40:52.008,-36:02:22.56
Gaia19ayp,17:43:24.576,-34:54:13.32
Gaia19ayr,17:18:06.72,-32:25:13.08
Gaia19baa,16:16:49.368,-39:20:47.04
Gaia19bat,15:56:01.296,-55:17:21.12
Gaia19baz,15:39:06.576,-53:17:36.24
Gaia19bcm,10:27:34.752,-71:42:03.6
Gaia19bej,09:19:53.976,-54:13:14.16
Gaia19bek,09:18:06.72,-54:26:56.04
Gaia19bfn,06:54:48.936,-23:49:13.8
Gaia19bft,17:21:27.48,-21:28:02.64
Gaia19bfu,18:06:56.856,-09:27:03.6
Gaia19bfv,18:19:03.768,-03:35:35.16
Gaia19bhg,17:33:13.272,-31:05:15.72
Gaia19bho,17:43:44.592,-33:55:04.08
Gaia19bht,17:55:35.208,-29:00:17.28
Gaia19bhw,17:49:17.544,-30:51:05.4
Gaia19bhx,18:07:59.064,-28:48:17.64
Gaia19bic,17:56:53.496,-32:41:12.48
Gaia19bif,18:12:48.96,-30:19:49.08
Gaia19bii,17:58:00.384,-33:42:47.52
Gaia19bir,15:38:34.416,-51:14:29.4
Gaia19bix,16:44:44.112,-53:04:25.68
Gaia19bjq,03:40:47.424,+57:57:20.88
Gaia19bld,12:37:32.544,-66:06:41.04
Gaia19bmu,16:16:02.952,-67:38:55.68
Gaia19brt,19:50:49.464,+34:38:14.28
Gaia19bsy,19:47:37.968,+14:17:35.52
Gaia19bzf,19:22:39.192,+19:33:01.44
Gaia19chi,15:28:08.472,-67:01:15.24
Gaia19cyv,21:13:03.192,+43:20:15.36
Gaia19dae,20:36:08.184,+32:43:15.24
Gaia19dak,20:09:27.648,+29:56:09.24
Gaia19dke,19:25:58.68,+28:24:24.84
Gaia19dqf,17:42:44.928,-19:05:54.24
Gaia19dqg,18:37:20.928,-03:28:17.4
Gaia19dqh,17:43:13.368,-24:11:36.6
Gaia19dqm,19:22:04.224,+11:17:35.16
Gaia19dqz,17:51:51.6,-21:48:32.76
Gaia19drc,17:31:29.424,-30:23:04.92
Gaia19drf,18:40:34.344,-08:50:51.36
Gaia19drv,17:43:56.544,-32:52:15.6
Gaia19dry,18:32:39.24,-13:08:39.12
Gaia19drz,19:02:09.456,+00:01:48.36
Gaia19dsb,19:14:00.36,+05:12:11.16
Gaia19dsl,17:54:21.576,-29:17:17.88
Gaia19dsp,17:49:27.336,-34:13:05.16
Gaia19dtd,18:11:58.056,-29:55:23.16
Gaia19dtk,18:41:43.056,-28:29:00.96
Gaia19dtl,10:36:12.288,-61:35:54.6
Gaia19duh,09:46:56.784,-61:54:46.8
Gaia19duq,13:01:31.512,-67:21:55.8
Gaia19dur,18:55:29.208,-10:45:07.2
Gaia19dus,18:30:07.56,-20:53:02.76
Gaia19duw,19:52:47.856,+42:04:17.4
Gaia19dxg,19:02:10.992,-02:55:09.12
Gaia19dyo,18:48:36.744,-05:07:24.24
Gaia19dzz,18:26:19.824,-07:49:31.8
Gaia19eaw,18:33:44.856,-22:59:59.28
Gaia19eca,18:08:48.48,-24:52:57
Gaia19ecq,17:30:44.952,-24:12:36
Gaia19ect,17:57:13.416,-29:27:28.44
Gaia19edj,17:05:31.848,-25:11:06.72
Gaia19efp,16:17:47.64,-56:38:58.2
Gaia19eha,15:28:09.48,-53:57:53.28
Gaia19eid,14:25:37.248,-62:33:33.12
Gaia19eie,05:10:53.712,-72:41:04.92
Gaia19eim,13:23:06.288,-63:24:06.84
Gaia19ejl,12:32:58.776,-64:19:31.44
Gaia19eku,11:00:51.36,-61:45:24.48
Gaia19enl,18:15:40.8,-28:59:14.28
Gaia19enj,20:12:15.048,+34:58:12.36
Gaia19enm,17:48:13.152,-37:02:00.24
Gaia19ent,17:38:19.104,-32:44:54.6
Gaia19eob,17:27:49.896,-31:03:07.2
Gaia19eof,17:45:16.608,-24:38:53.88
Gaia19eol,18:00:47.472,-22:08:15
Gaia19eoh,17:44:54.816,-25:08:14.64
Gaia19eom,17:53:44.376,-29:51:11.88
Gaia19epd,17:35:36.696,-42:28:54.12
Gaia19epk,18:10:53.976,-25:44:45.96
Gaia19epm,20:19:24.072,+33:00:24.12
Gaia19ere,14:13:48.672,-58:51:27.72
Gaia19erl,13:48:38.952,-64:26:58.2
Gaia19esp,12:56:59.088,-63:48:47.16
Gaia19evd,10:32:32.64,-63:14:32.64
Gaia19fhn,19:01:56.328,+01:33:00
Gaia19flf,09:54:45.336,-60:55:41.16
Gaia19fnb,13:11:11.352,-65:18:48.6
Gaia19foc,21:08:29.376,-47:32:36.6
Gaia20aoq,11:00:29.4,-39:39:58.32
Gaia20avj,17:03:43.8,-44:12:47.88
Gaia20awt,17:43:26.64,-36:06:25.2
Gaia20aya,18:59:45.264,-38:42:42.48
Gaia20ayb,18:19:29.28,-31:30:10.8
Gaia20ayc,18:22:22.344,-30:43:08.4
Gaia20aym,18:17:04.344,-24:55:55.2
Gaia20bgu,13:42:14.16,-64:18:56.52
