Name  RA   Dec  t0[HJD]  tE[days]    u0    Ibase    Ibase_err
KMT-2016-BLG-0062 18:00:54.04 -28:44:26.09 247521.66492 18.16 0.137 19.39 None
KMT-2016-BLG-0063 18:01:07.35 -28:40:40.69 247593.85010 35.67 0.468 19.82 None
KMT-2016-BLG-0064 17:59:44.26 -28:41:50.78 247577.14593 28.99 0.070 19.18 None
KMT-2016-BLG-0065 18:00:04.35 -28:06:55.12 247617.57988 67.24 0.180 18.50 None
KMT-2016-BLG-0066 17:59:44.17 -28:01:57.22 247525.06160 6.38 0.285 20.00 None
KMT-2016-BLG-0067 17:59:18.18 -28:50:25.91 247521.28230 163.01 0.023 17.98 None
KMT-2016-BLG-0068 17:59:16.43 -28:26:07.69 247526.81241 2.58 0.685 18.25 None
KMT-2016-BLG-0069 17:58:35.72 -28:57:22.00 247533.09396 7.84 0.966 15.78 None
KMT-2016-BLG-0070 17:58:47.58 -28:43:30.00 247507.57382 37.15 0.082 18.95 None
KMT-2016-BLG-0071 17:58:46.07 -28:36:13.10 247528.12596 7.45 0.110 19.40 None
KMT-2016-BLG-0072 17:58:18.80 -28:42:19.51 247546.81258 129.04 0.033 18.99 None
KMT-2016-BLG-0073 17:58:00.21 -28:24:03.20 247495.24684 54.18 0.027 20.00 None
KMT-2016-BLG-0074 17:58:21.85 -28:01:53.51 247522.55260 8.32 0.291 20.00 None
KMT-2016-BLG-0075 17:57:49.14 -28:26:30.98 247443.86039 24.60 0.374 19.74 None
KMT-2016-BLG-0076 17:57:45.61 -28:00:26.10 247513.81609 60.48 0.044 20.00 None
KMT-2016-BLG-0077 17:53:27.03 -29:02:36.10 247491.98183 41.99 0.503 18.64 None
KMT-2016-BLG-0078 17:53:48.96 -29:05:07.69 247499.14821 19.60 0.771 18.99 None
KMT-2016-BLG-0079 17:53:42.92 -28:42:07.31 247542.10376 24.32 0.189 17.48 None
KMT-2016-BLG-0080 17:53:23.12 -29:04:03.22 247499.17402 55.08 0.537 18.02 None
KMT-2016-BLG-0081 17:53:23.98 -29:02:28.72 247477.09162 31.10 0.448 18.75 None
KMT-2016-BLG-0082 17:53:12.92 -29:05:07.12 247539.91899 10.98 0.058 20.00 None
KMT-2016-BLG-0083 17:52:58.65 -28:54:36.11 247619.92853 38.50 0.906 16.89 None
KMT-2016-BLG-0084 17:53:09.37 -28:40:03.90 247493.67921 99.70 0.008 17.80 None
KMT-2016-BLG-0085 17:53:14.55 -28:27:02.45 247548.74146 12.22 0.058 20.00 None
