Name  RA   Dec  t0[HJD]  tE[days]    u0    Ibase    Ibase_err
OGLE-1999-BUL-21 17:54:15.99 -29:18:49.7 2451318.911 10.464 0.343 18.908 None
OGLE-1999-BUL-22 17:51:31.82 -33:34:00.9 2451323.572 7.055 0.333 17.672 None
OGLE-1999-LMC-01 5:16:53.28 -69:16:30.0 2451337.269 50.728 0.031 19.869 None
OGLE-1999-BUL-23 18:07:45.14 -27:33:15.4 2451344.537 21.593 0.086 17.850 None
OGLE-1999-BUL-24 18:11:10.91 -25:50:00.5 2451335.444 8.942 0.557 18.231 None
OGLE-1999-BUL-25 17:59:41.14 -28:47:18.4 2451343.677 16.210 0.18 18.516 None
OGLE-1999-BUL-26 18:02:17.98 -28:25:28.3 2451344.617 6.059 0.907 16.613 None
OGLE-1999-BUL-27 17:53:09.83 -30:02:52.5 2451366.206 25.787 0.632 17.176 None
OGLE-1999-BUL-28 18:09:04.93 -26:44:38.3 2451346.783 5.972 0.307 17.880 None
OGLE-1999-BUL-29 17:54:55.29 -29:44:38.6 2451364.787 27.249 0.25 18.842 None
OGLE-1999-BUL-30 18:06:37.16 -27:16:26.9 2451358.746 12.909 0.537 18.504 None
OGLE-1999-BUL-31 18:08:32.71 -27:22:13.5 2451358.488 5.736 0.072 18.144 None
OGLE-1999-BUL-32 18:05:05.34 -28:34:42.3 2451366.440 164.66 0.138 18.319 None
OGLE-1999-BUL-33 17:57:56.24 -30:51:58.9 2451434.514 53.803 0.34 16.625 None
OGLE-1999-BUL-34 17:52:48.61 -29:32:35.1 2451369.640 6.090 0.372 16.398 None
OGLE-1999-BUL-35 17:49:01.66 -30:15:40.4 2451391.810 28.962 0.035 18.888 None
OGLE-1999-BUL-36 18:20:30.00 -21:57:04.7 2451392.576 28.295 0.063 17.643 None
OGLE-1999-BUL-37 18:01:51.02 -29:56:50.1 2451399.075 22.469 0.762 16.210 None
OGLE-1999-BUL-38 18:09:34.21 -32:33:00.1 2451406.987 40.866 0.615 18.033 None
OGLE-1999-BUL-39 18:16:53.06 -24:25:47.3 2451437.181 49.302 0.499 17.953 None
OGLE-1999-BUL-40 18:15:59.02 -24:10:04.9 2451397.646 10.564 0.17 19.780 None
OGLE-1999-BUL-41 17:55:00.07 -29:35:03.7 2451397.784 5.962 0.245 15.626 None
OGLE-1999-BUL-42 18:05:38.68 -28:52:11.2 2451405.133 21.202 0.46 18.390 None
OGLE-1999-BUL-43 18:09:29.58 -26:29:48.7 2451405.678 13.788 0.389 18.652 None
OGLE-1999-BUL-44 18:04:06.85 -29:01:17.2 2451460.180 32.238 0.739 14.561 None
OGLE-1999-BUL-45 17:55:34.31 -30:01:06.6 2451420.354 27.940 0.656 17.713 None
