Name RA Dec t0[HJD] tE[days] u0 Ibase Ibase_err
Gaia24acv 20:02:25.3656 +27:06:40.824 None None None 18.30 None
Gaia24aam 20:22:31.1304 +37:10:04.26 None None None 14.29 None
Gaia24aal 20:31:55.2792 +32:37:03.324 None None None 13.15 None
Gaia24aae 20:32:52.5072 +40:45:52.344 None None None 15.41 None
Gaia23dtn 22:54:19.6104 +60:48:51.3 None None None 15.01 None
Gaia23dta 12:13:26.8536 -63:06:02.7 None None None 19.37 None
Gaia23dqt 01:41:59.5104 +49:47:20.976 None None None 15.88 None
Gaia23dpy 15:17:37.1808 -64:15:12.852 None None None 16.97 None
Gaia23dpn 14:40:37.1304 -57:45:44.64 None None None 15.92 None
Gaia23dpi 14:50:24.132 -66:03:57.6 None None None 18.21 None
Gaia23don 14:20:55.1424 -62:05:23.496 None None None 15.15 None
Gaia23dnm 12:27:40.8336 -61:25:21.432 None None None 10.36 None
Gaia23dmq 23:22:30.8736 +62:57:21.492 None None None 15.51 None
Gaia23dit 07:50:16.068 -31:42:23.436 None None None 12.29 None
Gaia23dfy 18:47:41.4336 +09:02:38.292 None None None 16.90 None
Gaia23deh 06:53:27.2928 +02:02:32.1 None None None 15.07 None
Gaia23deg 18:49:58.3944 -00:22:40.548 None None None 14.71 None
Gaia23def 18:38:19.968 +01:43:48.036 None None None 16.08 None
Gaia23ddj 18:44:06.0024 -05:22:45.012 None None None 10.60 None
Gaia23dco 18:24:44.5752 -09:02:30.12 None None None 15.24 None
Gaia23dbz 17:28:53.508 -18:53:45.204 None None None 16.45 None
Gaia23dby 17:43:56.4648 -49:35:58.128 None None None 15.35 None
Gaia23dbs 17:29:29.0568 -38:59:41.64 None None None 17.59 None
Gaia23dag 17:14:01.0008 -25:56:29.328 None None None 16.20 None
Gaia23dab 16:38:19.1688 -46:41:15.108 None None None 15.27 None
Gaia23czt 03:56:54.3624 +52:16:52.068 None None None 15.50 None
Gaia23cxp 13:47:59.484 -57:41:42.252 None None None 10.15 None
Gaia23cxl 04:07:33.2928 +55:24:27.288 None None None 14.86 None
Gaia23cxk 03:09:02.748 +57:31:00.084 None None None 15.58 None
Gaia23cwg 13:38:19.0824 -63:19:57.252 None None None 15.35 None
Gaia23cwe 13:14:40.1208 -62:51:37.44 None None None 13.77 None
Gaia23cvo 12:31:33.3144 -67:25:43.896 None None None 19.06 None
Gaia23cvm 12:36:12.8184 -67:26:48.984 None None None 18.58 None
Gaia23cvf 13:29:33.0672 -68:22:57.252 None None None 18.41 None
Gaia23cve 12:17:02.8104 -63:00:37.8 None None None 15.43 None
Gaia23cvc 23:11:40.0584 +57:15:34.2 None None None 10.90 None
Gaia23cul 10:53:24.8448 -59:40:45.12 None None None 17.51 None
Gaia23cpg 07:06:59.328 -00:42:21.528 None None None 15.13 None
Gaia23cob 06:32:38.0736 +05:41:42.972 None None None 15.38 None
Gaia23cnw 18:29:59.232 -14:02:27.564 None None None 18.63 None
Gaia23cnm 19:01:17.5008 -18:43:01.668 None None None 18.10 None
Gaia23cne 06:18:25.9128 +12:16:34.932 None None None 14.06 None
Gaia23cnd 17:59:55.1208 -09:39:51.192 None None None 18.34 None
Gaia23cmf 17:46:12.4488 -21:00:50.4 None None None 18.00 None
Gaia23cme 17:36:51.0072 -17:11:55.824 None None None 19.44 None
Gaia23ckk 06:15:01.9344 +36:39:20.376 None None None 15.77 None
Gaia23ckg 17:43:04.0032 -35:15:32.4 None None None 17.64 None
Gaia23cfu 14:24:56.0856 -45:29:38.616 None None None 15.24 None
Gaia23cfn 14:23:42.7248 -60:03:53.856 None None None 15.21 None
Gaia23ccd 11:40:02.5032 -46:41:02.112 None None None 18.39 None
Gaia23ccc 22:36:06.12 +58:42:19.008 None None None 11.25 None
Gaia23cbf 08:48:15.5232 -44:18:37.944 None None None 18.78 None
Gaia23bwg 16:57:56.6928 -61:44:33.288 None None None 18.08 None
Gaia23bvi 15:06:34.2288 -61:17:41.532 None None None 18.59 None
Gaia23bto 20:49:10.8912 +23:37:29.604 None None None 15.65 None
Gaia23btm 18:04:40.2408 -39:01:49.152 None None None 16.81 None
Gaia23bte 14:13:19.9632 -61:42:12.672 None None None 16.05 None
Gaia23bsu 17:52:37.8936 -30:06:18.108 None None None 16.74 None
Gaia23bst 03:01:40.5 +60:01:17.4 None None None 14.93 None
Gaia23bsp 09:58:23.1552 -55:01:14.592 None None None 16.40 None
Gaia23bsi 11:12:28.6344 -60:13:02.028 None None None 11.86 None
Gaia23bsh 12:39:01.8048 -63:33:42.336 None None None 16.34 None
Gaia23bsf 18:26:19.9392 -14:02:13.092 None None None 17.71 None
Gaia23bsd 18:14:14.8488 -22:19:11.532 None None None 17.87 None
Gaia23bsc 13:32:50.04 -63:33:14.436 None None None 18.43 None
Gaia23bsb 13:35:41.9712 -63:43:09.624 None None None 15.03 None
Gaia23brn 17:56:28.3632 -23:09:56.376 None None None 18.49 None
Gaia23brl 18:06:43.7664 -17:08:38.616 None None None 16.46 None
Gaia23brj 04:37:07.0272 +48:05:58.056 None None None 15.76 None
Gaia23bre 17:31:49.0008 -29:16:06.132 None None None 19.18 None
Gaia23brd 17:34:06.528 -29:49:59.592 None None None 18.33 None
Gaia23bqi 12:14:24.6552 -69:36:14.328 None None None 17.47 None
Gaia23bpt 16:51:55.2168 -28:37:26.796 None None None 20.11 None
Gaia23bpn 04:56:29.6616 +39:12:38.196 None None None 11.70 None
Gaia23bpj 17:18:05.376 -43:53:47.256 None None None 19.57 None
Gaia23bnv 17:26:20.2392 -27:06:02.16 None None None 17.34 None
Gaia23bnp 17:34:23.76 -27:58:13.548 None None None 19.77 None
Gaia23bna 17:37:06.7848 -22:30:05.58 None None None 17.18 None
Gaia23bmq 18:04:16.476 -32:25:19.236 None None None 15.65 None
Gaia23bln 18:02:02.5464 -21:01:51.42 None None None 18.13 None
Gaia23ble 18:03:23.3688 -16:37:01.164 None None None 17.86 None
Gaia23bkz 18:33:22.9992 -20:41:08.304 None None None 19.40 None
Gaia23bkg 18:38:31.7904 -05:21:51.984 None None None 17.93 None
Gaia23biz 07:10:48.0144 -07:53:30.624 None None None 16.20 None
Gaia23bgy 19:39:32.2416 +32:32:48.84 None None None 15.40 None
Gaia23bef 08:28:53.4984 -64:43:30.936 None None None 16.71 None
Gaia23bee 08:48:11.8968 -46:49:13.404 None None None 15.29 None
Gaia23bdw 17:31:55.2264 -47:41:51.468 None None None 20.15 None
Gaia23bdc 16:12:39.4368 -55:54:57.924 None None None 19.86 None
Gaia23bcr 01:15:42.3264 +60:25:58.44 None None None 13.44 None
Gaia23bcf 14:53:57.9216 -58:30:59.976 None None None 10.86 None
Gaia23bbw 18:05:11.7408 -29:32:40.596 None None None 17.71 None
Gaia23bbr 17:54:45.3312 -30:32:12.516 None None None 17.58 None
Gaia23bbq 18:32:11.0352 -24:01:31.44 None None None 16.30 None
Gaia23bbm 17:30:07.164 -29:49:27.048 None None None 17.95 None
Gaia23bbl 18:19:30.744 -21:55:54.156 None None None 17.67 None
Gaia23bbi 18:38:20.1312 -14:32:21.48 None None None 18.19 None
Gaia23bbf 17:41:04.8912 -28:15:03.852 None None None 10.87 None
Gaia23bai 20:12:20.1768 +19:17:10.752 None None None 15.98 None
Gaia23baf 18:39:36.1128 -04:35:46.752 None None None 10.45 None
