17:48:45,-18:50:21.85637019
16:49:41.25,-41:48:37.1336248
16:55:18.75,-41:48:37.1336248
17:23:26.25,-41:48:37.1336248
17:29:03.75,-19:28:16.39428417
17:34:41.25,-41:48:37.1336248
17:29:03.75,-41:48:37.1336248
17:40:18.75,-19:28:16.39428417
17:51:33.75,-19:28:16.39428417
17:45:56.25,-19:28:16.39428417
18:02:48.75,-19:28:16.39428417
17:57:11.25,-19:28:16.39428417
17:34:41.25,-19:28:16.39428417
18:19:41.25,-19:28:16.39428417
18:25:18.75,-19:28:16.39428417
18:30:56.25,-19:28:16.39428417
18:36:33.75,-19:28:16.39428417
18:42:11.25,-19:28:16.39428417
18:47:48.75,+00:00:00
18:53:26.25,+00:00:00
18:59:03.75,-19:28:16.39428417
19:04:41.25,+19:28:16.39428417
18:59:03.75,+00:00:00
19:15:56.25,-19:28:16.39428417
19:21:33.75,+19:28:16.39428417
19:27:11.25,+19:28:16.39428417
19:32:48.75,+19:28:16.39428417
19:49:41.25,+41:48:37.1336248
19:55:18.75,+41:48:37.1336248
20:12:11.25,+19:28:16.39428417
20:23:26.25,+19:28:16.39428417
20:34:41.25,+19:28:16.39428417
06:22:30,+18:50:21.85637019
06:28:07.5,+18:50:21.85637019
18:42:11.25,-07:10:50.72081325
18:47:48.75,-07:10:50.72081325
07:07:30,-00:35:48.63058983
13:04:17.14285714,-58:55:11.19127009
07:30:00,-20:06:19.8352365
07:35:37.5,-20:06:19.8352365
18:53:26.25,-07:10:50.72081325
13:12:51.42857143,-58:55:11.19127009
15:40:00,-42:36:35.3051195
15:45:42.85714286,-42:36:35.3051195
17:37:30,-41:00:52.19879663
17:43:07.5,-41:00:52.19879663
16:54:17.14285714,-42:36:35.3051195
17:17:08.57142857,-42:36:35.3051195
17:22:51.42857143,-42:36:35.3051195
17:34:17.14285714,-42:36:35.3051195
17:40:00,-42:36:35.3051195
17:31:52.5,-20:06:19.8352365
17:37:30,-20:06:19.8352365
17:43:07.5,-20:06:19.8352365
17:48:45,-20:06:19.8352365
17:54:22.5,-20:06:19.8352365
18:00:00,-20:06:19.8352365
18:11:15,-20:06:19.8352365
18:16:52.5,-20:06:19.8352365
18:22:30,-20:06:19.8352365
18:28:07.5,-20:06:19.8352365
18:33:45,-20:06:19.8352365
18:39:22.5,-20:06:19.8352365
18:50:37.5,-00:35:48.63058983
18:56:15,-00:35:48.63058983
19:01:52.5,+18:50:21.85637019
19:07:30,+18:50:21.85637019
19:13:07.5,-20:06:19.8352365
19:18:45,-20:06:19.8352365
19:24:22.5,+18:50:21.85637019
19:30:00,+18:50:21.85637019
20:09:22.5,+18:50:21.85637019
20:15:00,+18:50:21.85637019
20:20:37.5,+18:50:21.85637019
20:26:15,+18:50:21.85637019
20:31:52.5,+41:00:52.19879663
20:37:30,+41:00:52.19879663
20:31:52.5,+18:50:21.85637019
20:37:30,+18:50:21.85637019
17:17:48.75,-27:16:46.60584952
18:25:18.75,-27:16:46.60584952
18:30:56.25,-27:16:46.60584952
06:25:18.75,+18:12:35.84471142
06:53:26.25,-01:11:37.49437371
07:04:41.25,-01:11:37.49437371
07:10:18.75,-01:11:37.49437371
07:32:48.75,-20:44:32.56783615
18:00:00,-15:05:41.23355836
18:33:45,-27:57:11.47278017
15:37:44.51612903,-43:24:24.69054937
15:43:32.90322581,-43:24:24.69054937
17:04:50.32258065,-43:24:24.69054937
17:16:27.09677419,-43:24:24.69054937
17:22:15.48387097,-43:24:24.69054937
17:28:03.87096774,-43:24:24.69054937
17:33:52.25806452,-43:24:24.69054937
17:23:26.25,-20:44:32.56783615
17:29:03.75,-20:44:32.56783615
17:34:41.25,-20:44:32.56783615
17:40:18.75,-20:44:32.56783615
17:45:56.25,-20:44:32.56783615
17:51:33.75,-20:44:32.56783615
17:57:11.25,-20:44:32.56783615
18:02:48.75,-20:44:32.56783615
18:08:26.25,-20:44:32.56783615
18:14:03.75,-20:44:32.56783615
18:19:41.25,-20:44:32.56783615
18:25:18.75,-20:44:32.56783615
18:30:56.25,-20:44:32.56783615
18:36:33.75,-20:44:32.56783615
18:42:11.25,-20:44:32.56783615
18:47:48.75,-01:11:37.49437371
18:53:26.25,-01:11:37.49437371
19:04:41.25,+18:12:35.84471142
19:10:18.75,+18:12:35.84471142
19:15:56.25,-20:44:32.56783615
19:27:11.25,+18:12:35.84471142
20:23:26.25,+18:12:35.84471142
20:29:03.75,+40:13:41.46502102
20:34:41.25,+40:13:41.46502102
20:34:41.25,+18:12:35.84471142
04:52:30,+39:27:03.22095293
